time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
69,5807,5753,5735,6215,6239,6094,5933,5900,5937,6087,5665,-4171.013172034503,7277.916913761735,-91.14995272158866,14161.59250459035,3828.1897128757623,4888.04419394638,1092.9595718110968,-243.2181033219993,-11952.866510019892,6114.7859091513155,-7417.577820615965
70,5782,5785,5712,6179,6269,6059,5879,5862,5935,6074,5672,-4165.443194461767,7550.03983080886,-90.25899863260254,14188.034578764222,3809.2592755340297,4842.535672540002,1095.293593872447,-240.88295139572838,-11837.663877976614,5905.243160384622,-7417.7538791517645
71,5736,5784,5691,6069,6275,6081,5861,5863,5877,6026,5655,-4153.446147739468,7564.109611273044,-96.44476350251813,14199.205949626083,3817.7673148166523,4840.423317619807,1088.5981296714265,-235.738640210265,-11801.367493201147,5913.21874963435,-7420.571938209598
72,5736,5767,5621,6038,6240,6058,5795,5879,5828,5967,5647,-4149.401624402812,7574.718168902566,-103.35330299936578,14067.235870875222,3808.4034151755905,4813.866377322546,1085.1748546800166,-234.0316515310531,-11786.199415646666,5862.96432612824,-7350.8677028290085
73,5753,5722,5629,5998,6224,6107,5756,5820,5840,5982,5656,-4153.773769054008,7574.488339086486,-106.09881641626244,13989.228751526862,3785.478731395042,4804.030374441132,1080.3837765968372,-233.96357535689324,-11539.407270555705,5782.826580565182,-7308.5613449262155
74,5689,5678,5623,5972,6190,6161,5734,5806,5757,5959,5660,-4151.1217654189,7629.921432380412,-111.94342684341731,14012.857146888506,3769.7662358290763,4788.327457178853,1077.1279822748422,-229.3955131070055,-11476.909565032465,5772.207352566594,-7290.854228428316
75,5736,5659,5676,5985,6174,6142,5669,5796,5732,5938,5660,-4122.966728118144,7627.471096946625,-113.37579077343798,14030.005195870786,3779.566433933185,4757.490311573805,1077.3620905651208,-225.3904113145302,-11495.070339921598,5728.103285326524,-7218.104594713148
76,5693,5625,5627,6088,6085,6046,5591,5740,5713,5843,5692,-4116.590552584069,7628.538456362158,-119.16527046147456,14073.506485484972,3787.9855753964157,4695.114395199763,1069.726786107637,-228.2150387837064,-11341.127295400975,5722.9254653970065,-7129.354893537593
77,5724,5648,5596,6158,6054,5916,5603,5752,5682,5825,5731,-4124.249229880543,7635.6009780561035,-116.96380970382152,14045.595682373323,3792.4939365116697,4694.1588761129515,1065.2368013841146,-227.369871290024,-11345.055354795513,5729.087407761041,-7104.5005404918575
78,5718,5639,5534,6142,5952,5836,5598,5710,5720,5817,5734,-4101.972213781876,7682.40579047118,-116.2896684516304,14043.64771148072,3800.5232241490876,4669.773879492113,1064.7830102725102,-224.0883607393708,-11218.021808883577,5643.460144708696,-7004.469473784205
